ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
400;L=3;64;69;L=4;69;74;
401;L=3;73;89;L=4;89;106;
402;L=3;73;89;L=4;89;106;
403;L=3;68;77;L=4;77;86;
404;L=3;68;77;L=4;77;86;
405;L=3;58;61;L=4;61;64;
406;L=3;73;89;L=4;89;106;
407;L=3;68;77;L=4;77;86;
408;L=3;73;89;L=4;89;106;
409;L=3;73;89;L=4;89;106;
410;L=3;67;76;L=4;76;85;
411;L=3;73;89;L=4;89;106;
412;L=3;68;77;L=4;77;86;
413;L=3;73;89;L=4;89;106;
414;L=3;68;77;L=4;77;86;
415;L=3;73;89;L=4;89;106;
416;L=3;73;89;L=4;89;106;
