ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
132;L=3;15;9;L=4;9;3;
133;L=3;18;11;L=4;11;5;
134;L=3;17;12;L=4;12;6;
135;L=3;18;13;L=4;13;6;
136;L=3;18;12;L=4;12;6;
137;L=3;14;8;L=4;8;3;
138;L=3;15;9;L=4;9;3;
139;L=3;18;11;L=4;11;5;
140;L=3;22;16;L=4;16;12;
141;L=3;25;20;L=4;20;15;
142;L=3;17;12;L=4;12;6;
143;L=3;18;13;L=4;13;6;
144;L=3;21;15;L=4;15;8;
145;L=3;22;15;L=4;15;8;
146;L=3;15;8;L=4;8;3;
147;L=3;16;9;L=4;9;3;
148;L=3;19;11;L=4;11;5;
149;L=3;19;13;L=4;13;6;
150;L=3;20;13;L=4;13;6;
151;L=3;16;9;L=4;9;3;
152;L=3;17;10;L=4;10;3;
153;L=3;20;12;L=4;12;5;
154;L=3;24;17;L=4;17;12;
155;L=3;27;21;L=4;21;15;
156;L=3;19;13;L=4;13;6;
157;L=3;20;14;L=4;14;6;
158;L=3;23;16;L=4;16;8;
159;L=3;24;16;L=4;16;8;
160;L=3;17;9;L=4;9;3;
161;L=3;18;10;L=4;10;3;
162;L=3;21;12;L=4;12;5;
163;L=3;21;14;L=4;14;6;
164;L=3;20;13;L=4;13;6;
165;L=3;13;8;L=4;8;3;
166;L=3;14;9;L=4;9;3;
167;L=3;17;11;L=4;11;5;
168;L=3;21;16;L=4;16;12;
169;L=3;24;20;L=4;20;15;
170;L=3;16;12;L=4;12;6;
171;L=3;17;13;L=4;13;6;
172;L=3;20;15;L=4;15;8;
173;L=3;21;15;L=4;15;8;
174;L=3;14;8;L=4;8;3;
175;L=3;15;9;L=4;9;3;
176;L=3;18;11;L=4;11;5;
177;L=3;17;12;L=4;12;6;
178;L=3;18;13;L=4;13;6;
179;L=3;18;12;L=4;12;6;
180;L=3;14;8;L=4;8;3;
181;L=3;15;9;L=4;9;3;
182;L=3;18;11;L=4;11;5;
183;L=3;22;16;L=4;16;12;
184;L=3;25;20;L=4;20;15;
185;L=3;17;12;L=4;12;6;
186;L=3;18;13;L=4;13;6;
187;L=3;21;15;L=4;15;8;
188;L=3;22;15;L=4;15;8;
189;L=3;15;8;L=4;8;3;
190;L=3;16;9;L=4;9;3;
191;L=3;19;11;L=4;11;5;
192;L=3;19;13;L=4;13;6;
193;L=3;21;14;L=4;14;6;
194;L=3;16;9;L=4;9;3;
195;L=3;17;10;L=4;10;3;
196;L=3;20;12;L=4;12;5;
197;L=3;24;17;L=4;17;12;
198;L=3;27;21;L=4;21;15;
199;L=3;19;13;L=4;13;6;
200;L=3;20;14;L=4;14;6;
201;L=3;23;16;L=4;16;8;
202;L=3;24;16;L=4;16;8;
203;L=3;17;9;L=4;9;3;
204;L=3;18;10;L=4;10;3;
205;L=3;21;12;L=4;12;5;
206;L=3;21;14;L=4;14;6;
207;L=3;13;8;L=4;8;3;
208;L=3;14;9;L=4;9;3;
209;L=3;17;11;L=4;11;5;
210;L=3;21;16;L=4;16;12;
211;L=3;24;20;L=4;20;15;
212;L=3;16;12;L=4;12;6;
213;L=3;17;13;L=4;13;6;
214;L=3;20;15;L=4;15;8;
215;L=3;21;15;L=4;15;8;
216;L=3;14;8;L=4;8;3;
217;L=3;15;9;L=4;9;3;
218;L=3;18;11;L=4;11;5;
219;L=3;17;12;L=4;12;6;
220;L=3;18;13;L=4;13;6;
221;L=3;18;12;L=4;12;6;
222;L=3;14;8;L=4;8;3;
223;L=3;15;9;L=4;9;3;
224;L=3;18;11;L=4;11;5;
225;L=3;22;16;L=4;16;12;
226;L=3;25;20;L=4;20;15;
227;L=3;17;12;L=4;12;6;
228;L=3;18;13;L=4;13;6;
229;L=3;21;15;L=4;15;8;
