ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1516;L=3;43;62;L=4;62;90;
1517;L=3;48;78;L=4;78;129;
1518;L=3;52;83;L=4;83;135;
1519;L=3;61;104;L=4;104;180;
1520;L=3;64;111;L=4;111;197;
1521;L=3;59;104;L=4;104;182;
1522;L=3;25;30;L=4;30;32;
1523;L=3;29;35;L=4;35;38;
1524;L=3;34;51;L=4;51;77;
1525;L=3;38;56;L=4;56;83;
1526;L=3;43;72;L=4;72;122;
1527;L=3;47;77;L=4;77;128;
1528;L=3;52;93;L=4;93;167;
1529;L=3;34;51;L=4;51;77;
1530;L=3;38;56;L=4;56;83;
1531;L=3;43;72;L=4;72;122;
1532;L=3;47;77;L=4;77;128;
1533;L=3;56;98;L=4;98;173;
1534;L=3;63;109;L=4;109;188;
1535;L=3;41;62;L=4;62;92;
1536;L=3;45;67;L=4;67;98;
1537;L=3;50;83;L=4;83;137;
1538;L=3;54;88;L=4;88;143;
1539;L=3;64;113;L=4;113;201;
1540;L=3;23;25;L=4;25;25;
1541;L=3;28;41;L=4;41;64;
1542;L=3;32;46;L=4;46;70;
1543;L=3;37;62;L=4;62;109;
1544;L=3;41;67;L=4;67;115;
1545;L=3;46;83;L=4;83;154;
1546;L=3;32;46;L=4;46;70;
1547;L=3;37;62;L=4;62;109;
1548;L=3;41;67;L=4;67;115;
1549;L=3;50;88;L=4;88;160;
1550;L=3;53;94;L=4;94;169;
1551;L=3;39;57;L=4;57;85;
1552;L=3;44;73;L=4;73;124;
1553;L=3;48;78;L=4;78;130;
1554;L=3;57;99;L=4;99;175;
1555;L=3;56;101;L=4;101;186;
1556;L=3;60;106;L=4;106;192;
1557;L=3;58;106;L=4;106;194;
1558;L=3;28;41;L=4;41;64;
1559;L=3;32;46;L=4;46;70;
1560;L=3;37;62;L=4;62;109;
1561;L=3;41;67;L=4;67;115;
1562;L=3;46;83;L=4;83;154;
1563;L=3;50;88;L=4;88;160;
1564;L=3;53;94;L=4;94;169;
1565;L=3;35;52;L=4;52;79;
1566;L=3;39;57;L=4;57;85;
1567;L=3;44;73;L=4;73;124;
1568;L=3;48;78;L=4;78;130;
1569;L=3;57;99;L=4;99;175;
1570;L=3;56;101;L=4;101;186;
1571;L=3;60;106;L=4;106;192;
1572;L=3;62;111;L=4;111;200;
1573;L=3;16;17;L=4;17;16;
1574;L=3;21;25;L=4;25;27;
1575;L=3;25;30;L=4;30;33;
1576;L=3;34;51;L=4;51;78;
1577;L=3;30;46;L=4;46;72;
1578;L=3;39;67;L=4;67;117;
1579;L=3;43;72;L=4;72;123;
1580;L=3;48;88;L=4;88;162;
1581;L=3;30;46;L=4;46;72;
1582;L=3;34;51;L=4;51;78;
1583;L=3;39;67;L=4;67;117;
1584;L=3;43;72;L=4;72;123;
1585;L=3;52;93;L=4;93;168;
1586;L=3;55;99;L=4;99;177;
1587;L=3;37;57;L=4;57;87;
1588;L=3;41;62;L=4;62;93;
1589;L=3;46;78;L=4;78;132;
1590;L=3;50;83;L=4;83;138;
1591;L=3;59;104;L=4;104;183;
1592;L=3;63;112;L=4;112;200;
1593;L=3;28;31;L=4;31;31;
1594;L=3;33;47;L=4;47;70;
1595;L=3;37;52;L=4;52;76;
1596;L=3;42;68;L=4;68;115;
1597;L=3;46;73;L=4;73;121;
1598;L=3;51;89;L=4;89;160;
1599;L=3;37;52;L=4;52;76;
1600;L=3;42;68;L=4;68;115;
1601;L=3;46;73;L=4;73;121;
1602;L=3;55;94;L=4;94;166;
1603;L=3;58;100;L=4;100;175;
1604;L=3;44;63;L=4;63;91;
1605;L=3;49;79;L=4;79;130;
1606;L=3;53;84;L=4;84;136;
1607;L=3;62;105;L=4;105;181;
1608;L=3;61;107;L=4;107;192;
1609;L=3;65;112;L=4;112;198;
1610;L=3;67;117;L=4;117;206;
1611;L=3;33;47;L=4;47;70;
1612;L=3;37;52;L=4;52;76;
1613;L=3;42;68;L=4;68;115;
1614;L=3;46;73;L=4;73;121;
1615;L=3;51;89;L=4;89;160;
1616;L=3;55;94;L=4;94;166;
1617;L=3;58;100;L=4;100;175;
